"x-value","y-value","z-value","timestamp","travel-mode"
"2.3463178","7.4603324","12.0571995","02-11-2017 09:49:41","Cycling"
"2.7964275","7.144298","12.852075","02-11-2017 09:49:41","Cycling"
"2.4133554","6.5505357","13.522451","02-11-2017 09:49:41","Cycling"
"-3.0262709","10.67814","9.222465","02-11-2017 09:49:42","Cycling"
"-5.861006","-0.47884035","-18.511967","02-11-2017 09:49:42","Cycling"
"-6.8282633","2.5187001","13.034034","02-11-2017 09:49:49","Cycling"
"-1.1013328","6.339846","-13.378799","02-11-2017 09:49:57","Cycling"
"0.095768064","7.690176","-14.719552","02-11-2017 09:49:57","Cycling"
"-2.183512","16.395493","-0.50757074","02-11-2017 09:49:57","Cycling"
"3.8019924","19.6133","-9.222465","02-11-2017 09:49:57","Cycling"
"11.760319","17.00841","-6.14831","02-11-2017 09:49:57","Cycling"
"4.663905","10.67814","-10.266336","02-11-2017 09:49:57","Cycling"
"3.1794999","14.393941","1.6567876","02-11-2017 09:50:04","Cycling"
"3.3327289","14.824897","2.0590134","02-11-2017 09:50:04","Cycling"
"3.1124623","13.388376","2.384625","02-11-2017 09:50:04","Cycling"
"-6.8761473","10.783484","6.3206925","02-11-2017 09:50:04","Cycling"
"-6.933608","12.53604","5.9567738","02-11-2017 09:50:04","Cycling"
"-6.2249246","11.999739","4.644751","02-11-2017 09:50:04","Cycling"
"-2.8634653","12.832921","4.6926355","02-11-2017 09:50:15","Cycling"
"-4.0414124","15.974113","3.8307228","02-11-2017 09:50:16","Cycling"
"-3.4284968","13.378799","3.3806129","02-11-2017 09:50:18","Cycling"
"-2.480393","13.302185","3.064578","02-11-2017 09:50:18","Cycling"
"-3.122039","15.02601","4.6926355","02-11-2017 09:50:18","Cycling"
"-2.9879637","16.184803","5.497087","02-11-2017 09:50:18","Cycling"
"-1.9249382","15.71554","4.903325","02-11-2017 09:50:19","Cycling"
"-1.7621324","13.819332","4.050989","02-11-2017 09:50:19","Cycling"
"-3.7062242","12.756307","4.185065","02-11-2017 09:50:21","Cycling"
"-2.873042","14.767436","2.873042","02-11-2017 09:50:22","Cycling"
"-2.7006595","14.049175","3.9839516","02-11-2017 09:50:22","Cycling"
"-4.0318356","14.642938","4.6830587","02-11-2017 09:50:22","Cycling"
"-4.0222588","15.073894","4.357447","02-11-2017 09:50:22","Cycling"
"-3.8019924","15.351622","3.6487634","02-11-2017 09:50:22","Cycling"
"-3.4572272","16.634912","5.3342814","02-11-2017 09:50:22","Cycling"
"-2.930503","17.046717","4.663905","02-11-2017 09:50:22","Cycling"
