"x-value","y-value","z-value","timestamp","travel-mode"
"3.1124623","15.820885","8.111555","07-11-2017 09:47:54","Cycling"
"3.5242648","16.357185","0.8714894","07-11-2017 09:47:55","Cycling"
"-0.17238252","19.278112","-1.7142484","07-11-2017 09:47:55","Cycling"
"5.6982","13.378799","-4.31914","07-11-2017 09:48:00","Cycling"
"5.985504","12.152967","-3.715801","07-11-2017 09:48:00","Cycling"
"6.3685765","13.22557","-5.506664","07-11-2017 09:48:01","Cycling"
"4.453215","12.363658","-5.554548","07-11-2017 09:48:01","Cycling"
"2.183512","14.81532","-7.335834","07-11-2017 09:48:01","Cycling"
"0.30645782","16.596605","-8.6095495","07-11-2017 09:48:01","Cycling"
"-0.8619126","12.133814","-7.1826053","07-11-2017 09:48:01","Cycling"
"1.7717092","13.953407","-3.3039982","07-11-2017 09:48:04","Cycling"
"1.7525556","15.677233","-2.6910827","07-11-2017 09:48:04","Cycling"
"2.0685902","15.1696615","-2.719813","07-11-2017 09:48:04","Cycling"
"2.4516625","13.608643","-3.9360676","07-11-2017 09:48:04","Cycling"
"3.9360676","12.995727","-3.0933087","07-11-2017 09:48:11","Cycling"
"6.2632318","11.683704","-5.497087","07-11-2017 09:48:16","Cycling"
"4.2042184","13.139379","-4.6255975","07-11-2017 09:48:16","Cycling"
"5.717354","14.700398","-6.157887","07-11-2017 09:48:16","Cycling"
"5.00867","14.279019","-4.7405195","07-11-2017 09:48:16","Cycling"
"5.5737014","13.704411","-4.663905","07-11-2017 09:48:17","Cycling"
"4.9416323","12.957419","-2.9113493","07-11-2017 09:48:17","Cycling"
"4.175488","12.957419","-4.232949","07-11-2017 09:48:18","Cycling"
"4.8841715","13.9438305","-5.3438582","07-11-2017 09:48:18","Cycling"
"3.466804","12.919112","-5.2002063","07-11-2017 09:48:22","Cycling"
"3.964798","13.445837","-3.0550013","07-11-2017 09:48:26","Cycling"
"3.016694","13.742718","-2.7389667","07-11-2017 09:48:26","Cycling"
"3.6774938","14.949395","-5.602432","07-11-2017 09:48:26","Cycling"
"5.3725886","12.497733","-5.315128","07-11-2017 09:48:27","Cycling"
"6.2632318","13.273455","-5.497087","07-11-2017 09:48:27","Cycling"
"5.2863975","13.034034","-4.721366","07-11-2017 09:48:27","Cycling"
"3.4763808","14.911088","-3.8307228","07-11-2017 09:48:27","Cycling"
"3.7924154","15.322891","-2.633622","07-11-2017 09:48:27","Cycling"
"3.6008794","13.196839","-2.9113493","07-11-2017 09:48:27","Cycling"
"4.003105","13.110648","-4.6351743","07-11-2017 09:48:27","Cycling"
"2.6910827","13.43626","-3.5338416","07-11-2017 09:48:28","Cycling"
"3.86903","12.919112","-4.185065","07-11-2017 09:48:29","Cycling"
"3.916914","12.852075","-5.391742","07-11-2017 09:48:31","Cycling"
"4.3766007","16.079458","-2.96881","07-11-2017 09:48:31","Cycling"
"5.631162","15.677233","-4.367024","07-11-2017 09:48:31","Cycling"
"4.960786","13.340492","-3.4476504","07-11-2017 09:48:31","Cycling"
"5.755661","13.637373","-5.3438582","07-11-2017 09:48:31","Cycling"
"4.8745947","13.40753","-6.9623384","07-11-2017 09:48:31","Cycling"
"4.1276035","13.350069","-5.0661306","07-11-2017 09:48:32","Cycling"
"4.3287168","15.380352","-4.7788267","07-11-2017 09:48:32","Cycling"
"3.2944214","12.488156","-6.2823853","07-11-2017 09:48:34","Cycling"
"3.1986535","13.560759","-1.5035586","07-11-2017 09:48:34","Cycling"
"3.1986535","14.068329","-2.834735","07-11-2017 09:48:34","Cycling"
"3.86903","13.311762","-6.033388","07-11-2017 09:48:34","Cycling"
"5.659893","12.229582","-5.4300494","07-11-2017 09:48:36","Cycling"
"4.146757","11.951855","-7.843405","07-11-2017 09:48:36","Cycling"
"5.2863975","11.176133","-9.950302","07-11-2017 09:48:36","Cycling"
"4.3766007","17.199945","-0.81402856","07-11-2017 09:48:36","Cycling"
"6.5122285","19.6133","-2.5091233","07-11-2017 09:48:37","Cycling"
"9.854534","19.6133","-4.817134","07-11-2017 09:48:37","Cycling"
"11.444284","19.421764","-8.169016","07-11-2017 09:48:37","Cycling"
"-1.1971009","17.286137","-1.8004397","07-11-2017 09:48:37","Cycling"
"4.462792","19.6133","-9.184157","07-11-2017 09:48:37","Cycling"
"12.421119","19.603724","-19.603724","07-11-2017 09:48:37","Cycling"
"6.349423","12.0093155","-5.45878","07-11-2017 09:48:37","Cycling"
"3.6296098","17.190369","2.135628","07-11-2017 09:48:37","Cycling"
"7.5561004","19.230228","3.2561142","07-11-2017 09:48:37","Cycling"
"6.7229185","14.60463","-0.7182605","07-11-2017 09:48:37","Cycling"
"2.585738","16.46253","-0.29688102","07-11-2017 09:48:37","Cycling"
"3.5529952","19.55584","-1.1779473","07-11-2017 09:48:37","Cycling"
"4.3861775","19.6133","-3.1890767","07-11-2017 09:48:37","Cycling"
"4.5872903","19.297266","-8.331821","07-11-2017 09:48:37","Cycling"
"4.1659107","13.752295","-6.081272","07-11-2017 09:48:37","Cycling"
"5.48751","12.919112","-4.510676","07-11-2017 09:48:37","Cycling"
"3.2561142","12.842498","-5.0278234","07-11-2017 09:48:41","Cycling"
"4.9416323","12.277467","-4.855441","07-11-2017 09:48:43","Cycling"
"2.528277","13.761871","-5.2480903","07-11-2017 09:48:44","Cycling"
"3.1794999","12.50731","-5.1235914","07-11-2017 09:48:44","Cycling"
"4.596867","11.712435","-6.033388","07-11-2017 09:48:44","Cycling"
"4.817134","13.694834","-6.2249246","07-11-2017 09:48:44","Cycling"
"4.0222588","13.034034","-5.3821654","07-11-2017 09:48:45","Cycling"
"4.3478703","12.5743475","-4.4436383","07-11-2017 09:48:47","Cycling"
"4.8362875","12.325351","-5.161899","07-11-2017 09:48:47","Cycling"
"4.654328","13.350069","-6.397307","07-11-2017 09:48:48","Cycling"
"4.2999864","12.727576","-6.943185","07-11-2017 09:48:48","Cycling"
"5.439626","13.455414","-5.2289367","07-11-2017 09:48:49","Cycling"
"4.76925","13.01488","-5.7365074","07-11-2017 09:48:49","Cycling"
