x-value,y-value,z-value,timestamp,travel_mode,disp(mtr),speed(m/s),aggr_acc
0.781799315,0.7496872,14.383034,12-10-2017 12:04:11,Walk,7.21188096324,0,14.4237619265
13.351288,-5.721695,5.4595947,12-10-2017 12:04:12,Walk,23.2766875488,15.5177916992,15.5177916992
14.749893,-4.3805237,0.7852173,12-10-2017 12:04:13,Walk,38.6277683243,30.9244427826,15.4066510834
11.860565,-6.6764374,7.1303865,12-10-2017 12:04:14,Walk,53.9722847154,46.2896707378,15.3652279552
14.2617565,-7.2076416,7.830887,12-10-2017 12:04:15,Walk,72.9825315996,64.0849113124,17.7952405746
14.688873,-3.1793213,6.090103,12-10-2017 12:04:16,Walk,88.4089932909,80.3009659647,16.2160546524
13.249596,-6.4132233,5.76169575,12-10-2017 12:04:17,Walk,104.012278068,96.1085073667,15.807541402
12.079498,-2.7151184,7.121414,12-10-2017 12:04:18,Walk,117.532828213,110.391387931,14.2828805644
14.8007435,-5.54881285,7.0867157,12-10-2017 12:04:19,Walk,136.375305286,127.713999501,17.3226115701
13.779602,-6.001663,6.228897,12-10-2017 12:04:20,Walk,152.118245704,143.98349697,16.2694974686
12.70043925,-6.5920868,7.4438477,12-10-2017 12:04:21,Walk,168.178066128,160.113209742,16.1297127719
12.9863815,-5.08879855,9.4717635,12-10-2017 12:04:22,Walk,185.403062008,176.973111252,16.8599015106
13.569038,-5.2634735,4.3654785,12-10-2017 12:04:24,Walk,199.765232328,192.167858636,15.194747384
13.634842,-7.09877,2.4302826,12-10-2017 12:04:25,Walk,215.512395088,207.730882937,15.563024301
15.089676,-6.1434326,3.4681702,12-10-2017 12:04:26,Walk,232.716952125,224.388262396,16.6573794587
14.088272,-5.456085,3.8540192,12-10-2017 12:04:27,Walk,247.775842536,239.979982489,15.5917200933
14.266541,-5.3699493,4.005966,12-10-2017 12:04:28,Walk,263.621919808,255.741274035,15.7612915455
13.0904695,-6.5801239,5.0498275,12-10-2017 12:04:29,Walk,278.986879106,271.238344082,15.4970700473
15.0113145,-2.90235135,8.2155305,12-10-2017 12:04:30,Walk,297.273528592,288.595133756,17.3567896736
13.850189,-7.4552917,5.7168274,12-10-2017 12:04:31,Walk,313.69902303,305.331059938,16.7359261826
14.4992445,-6.39347835,5.9806365,12-10-2017 12:04:32,Walk,330.737033768,322.268375824,16.9373158862
14.49147,-3.231964,3.5884094,12-10-2017 12:04:33,Walk,345.180843963,337.543354583,15.2749787587
15.022675,-3.959381,5.036072,12-10-2017 12:04:34,Walk,362.040677647,353.874903293,16.3315487094
14.51181,-2.8628693,3.09249875,12-10-2017 12:04:35,Walk,376.541893541,368.986230125,15.111326832
12.760269,-4.99128715,6.8773422,12-10-2017 12:04:36,Walk,391.982519135,384.317089465,15.33085934
14.2868805,-7.689789,4.154312,12-10-2017 12:04:37,Walk,409.439564747,401.06540632,16.7483168551
12.726761,-5.79347985,1.9110489,12-10-2017 12:04:38,Walk,422.235448006,415.178767444,14.1133611242
12.8858795,-2.9878998,4.429489,12-10-2017 12:04:40,Walk,436.103300154,429.128455917,13.9496884734
12.985184,-6.169159,1.4671783,12-10-2017 12:04:44,Walk,450.804682791,443.579273833,14.4508179161
13.316589,-7.30455,1.9732513,12-10-2017 12:04:45,Walk,466.553364816,458.895334488,15.3160606551
12.994766,-6.663269,5.2813263,12-10-2017 12:04:48,Walk,482.189108023,474.424516845,15.5291823561
13.1209795,-5.99028775,2.38960265,12-10-2017 12:04:49,Walk,496.355001681,489.044840069,14.6203232246
13.481102,-3.4616698,3.5943909,12-10-2017 12:04:50,Walk,510.607459541,503.419919717,14.3750796478
13.336937,-5.75997915,2.7120361,12-10-2017 12:04:51,Walk,525.587787755,518.198498409,14.7785786921
14.122971,-4.222595,0.46099854,12-10-2017 12:04:52,Walk,540.32037809,532.946418196,14.7479197874
12.98877,-5.5063477,1.65979,12-10-2017 12:04:53,Walk,554.253965131,547.151449486,14.20503129
13.0366285,-5.8072435,1.260200485,12-10-2017 12:04:54,Walk,568.642103181,561.478551949,14.3271024627
13.819092,-5.2359467,1.6861115,12-10-2017 12:04:55,Walk,583.789024388,576.352200242,14.8736482929
14.6643525,-3.31152345,3.2187195,12-10-2017 12:04:56,Walk,599.413673489,591.72651574,15.3743154977
13.720978,-4.940445,3.5094452,12-10-2017 12:04:57,Walk,614.225987718,606.726163725,14.9996479854
13.901039,-2.02657315,0.78881073,12-10-2017 12:04:59,Walk,627.83133464,620.796277669,14.0701139434
13.102432,-5.142639,1.8703613,12-10-2017 12:05:00,Walk,642.095153251,634.995528057,14.1992503884
14.10025,-3.4509125,1.400177,12-10-2017 12:05:01,Walk,656.871182818,649.579297898,14.583769841
13.504425,-4.258484,2.3919983,12-10-2017 12:05:02,Walk,671.120145884,663.939863222,14.360565324
13.670731,-3.5980682,2.5403595,12-10-2017 12:05:03,Walk,685.483978806,678.302606944,14.3627437224
12.426468,-6.479019,1.3678741,12-10-2017 12:05:05,Walk,699.423644226,692.383298465,14.080691521
12.429451,-6.3037491,2.45840455,12-10-2017 12:05:06,Walk,713.610935641,706.535056583,14.1517581172
12.652588,-6.3234863,0.308448785,12-10-2017 12:05:07,Walk,727.757252656,720.683187298,14.1481307153
14.619492,-2.8419342,-0.22215271,12-10-2017 12:05:08,Walk,743.025408503,735.578001434,14.8948141365
12.738724,-6.263672,-0.6014252,12-10-2017 12:05:09,Walk,756.890166359,749.786111384,14.2081099497
12.604721,-6.7601776,1.8560028,12-10-2017 12:05:10,Walk,771.420653508,764.209139467,14.4230280824
13.595352,-5.8018494,1.158493,12-10-2017 12:05:11,Walk,786.449499325,779.036046039,14.826906572
13.0342405,-7.2985687,2.1784363,12-10-2017 12:05:12,Walk,801.680885609,794.132605752,15.0965597138
12.139328,-6.51013185,1.84165195,12-10-2017 12:05:13,Walk,814.978654815,808.029971794,13.8973660418
12.952881,-5.109131,2.6300812,12-10-2017 12:05:14,Walk,829.285436127,822.20028135,14.1703095553
13.428459,-2.98011775,4.3140335,12-10-2017 12:05:15,Walk,843.823992188,836.616088575,14.4158072253
-6.4158173,5.2314453,10.708252,12-10-2017 12:05:16,Walk,856.918653265,850.151131702,13.535043127
11.046997,-8.668457,6.660797,12-10-2017 12:05:20,Walk,873.463684948,865.692833866,15.541702164
13.5068205,-5.5506135,7.48931115,12-10-2017 12:05:21,Walk,890.309899216,882.104210766,16.4113768998
13.864548,-3.7392426,4.2835236,12-10-2017 12:05:22,Walk,904.582009858,897.08941016,14.9851993947
13.07851425,-7.3721465,4.2398605,12-10-2017 12:05:23,Walk,920.490010925,912.68981067,15.6004005097
14.7881775,-3.1577911,5.0683746,12-10-2017 12:05:24,Walk,936.612354094,928.638172952,15.9483622823
13.765244,-4.820801,4.277542,12-10-2017 12:05:25,Walk,951.437157974,943.8374963,15.1993233475
12.553284,-6.1751404,1.6430511,12-10-2017 12:05:26,Walk,964.966577181,957.923550221,14.0860539209
12.566444,-6.619606,2.99858095,12-10-2017 12:05:27,Walk,979.698166607,972.439961145,14.516410924
13.153885,-4.2154083,3.7977905,12-10-2017 12:05:28,Walk,993.92808655,986.765378082,14.3254169367
12.010117,-6.9695587,3.0631866,12-10-2017 12:05:29,Walk,1008.0949757,1000.98510983,14.2197317476
11.6308515,-7.0694581,3.9138336,12-10-2017 12:05:30,Walk,1022.22862849,1015.14745561,14.1623457764
12.757874,-7.11911,4.0484314,12-10-2017 12:05:31,Walk,1037.88791436,1030.30776144,15.1603058344
10.20652,-10.120308,3.27614595,12-10-2017 12:05:32,Walk,1052.4207743,1045.04977001,14.7420085745
12.242218,-9.150604,3.2964935,12-10-2017 12:05:33,Walk,1068.50318619,1060.6853808,15.6356107818
15.057373,-7.521103,5.3256073,12-10-2017 12:05:34,Walk,1087.16594955,1078.3390933,17.6537125022
12.9552765,-6.847519,6.0135345,12-10-2017 12:05:35,Walk,1102.09836899,1094.17861043,15.8395171274
10.208313,-8.633759,3.775055,12-10-2017 12:05:36,Walk,1115.01741078,1108.071144,13.8925335713
11.579407,-9.097961,2.6097412,12-10-2017 12:05:37,Walk,1130.50436038,1123.02662159,14.9554775905
12.072327,-11.689392,4.2428436,12-10-2017 12:05:38,Walk,1149.02403577,1140.35823104,17.3316094561
11.803131,-10.004852,1.675354,12-10-2017 12:05:39,Walk,1163.70325184,1155.92157824,15.5633471969
13.905228,-8.672043,2.6193237,12-10-2017 12:05:40,Walk,1180.81527709,1172.51737747,16.5957992327
13.93634,-9.243927,1.6717529,12-10-2017 12:05:41,Walk,1197.7274878,1189.32411769,16.8067402174
15.62147525,-4.66645815,3.63865665,12-10-2017 12:05:42,Walk,1214.38112911,1206.02879197,16.704674282
16.980011,-4.551605,3.6386566,12-10-2017 12:05:43,Walk,1232.956934,1223.98088666,17.9520946825
14.2767105,-4.34461975,2.2418518,12-10-2017 12:05:44,Walk,1246.61678042,1239.0714825,15.0905958453
13.450592,-4.4570923,2.402771,12-10-2017 12:05:46,Walk,1260.62964017,1253.44358761,14.3721051137
13.864548,-4.859085,0.74453735,12-10-2017 12:05:47,Walk,1275.50892586,1268.15381311,14.7102254961
13.072525,-5.882019,1.4635773,12-10-2017 12:05:56,Walk,1289.76792912,1282.56322378,14.4094106717
14.001541,-9.7260895,3.84983065,12-10-2017 12:05:57,Walk,1308.7793947,1300.04067106,17.4774472784
14.331146,-6.0207977,6.4334717,12-10-2017 12:05:58,Walk,1325.27552681,1316.86390823,16.8232371657
14.3347395,-6.97613515,6.57166285,12-10-2017 12:05:59,Walk,1342.72914424,1334.1073989,17.2434906785
15.098053,-6.458679,3.611145,12-10-2017 12:06:00,Walk,1359.32819867,1350.92126541,16.8138665103
13.6988445,-4.36855315,6.7517242,12-10-2017 12:06:01,Walk,1374.74853652,1366.80611282,15.8848474004
13.388382,-4.56057735,2.1389618,12-10-2017 12:06:02,Walk,1388.26307651,1381.11075528,14.3046424606
13.805923,-4.940445,1.9313812,12-10-2017 12:06:03,Walk,1403.2956356,1395.90067549,14.7899202168
13.418289,-5.922699,1.2721558,12-10-2017 12:06:04,Walk,1417.98418185,1410.62301306,14.7223375695
14.1235735,-5.1276779,1.40854645,12-10-2017 12:06:05,Walk,1433.26021535,1425.71448125,15.0914681909
14.587189,-5.072052,1.6023712,12-10-2017 12:06:06,Walk,1449.00457835,1441.24121265,15.526731397
14.515396,-5.520096,1.53178405,12-10-2017 12:06:07,Walk,1464.64864144,1456.84616517,15.6049525235
13.6450045,-6.61601265,2.731781,12-10-2017 12:06:08,Walk,1479.95884345,1472.25461735,15.4084521813
14.39575175,-5.515915,0.480133055,12-10-2017 12:06:09,Walk,1495.39031288,1487.67841437,15.4237970191
15.0041355,-5.2550964,0.6769409,12-10-2017 12:06:10,Walk,1511.54672665,1503.59062256,15.912208183
12.829651,-5.352005,3.1253967,12-10-2017 12:06:12,Walk,1524.96296486,1517.83885076,14.2482281998
