x-value,y-value,z-value,timestamp,travel_mode,disp(mtr),speed(m/s)
7.5098114,4.8486023,12.6745605,07-09-2017 09:57:28,Biking,7.75484840915,15.5096968183
10.446396,8.637634,13.588013,07-09-2017 09:57:29,Biking,9.59648383257,19.1929676651
2.1959534,8.418686,11.490707,07-09-2017 09:57:30,Biking,7.20646988236,14.4129397647
0.613098145,15.056381,-0.32444763,07-09-2017 10:01:37,Biking,7.53617549585,15.0723509917
0.8751068,14.695068,0.36528015,07-09-2017 10:01:38,Biking,7.3628164622,14.7256329244
0.7411194,15.651001,1.7590942,07-09-2017 10:01:39,Biking,7.88348753204,15.7669750641
0.951087955,16.023674,1.3828278,07-09-2017 10:01:40,Biking,8.05566430347,16.1113286069
-0.2848129125,14.6340485,1.56108855,07-09-2017 10:01:47,Biking,7.35991663262,14.7198332652
1.2543793,17.936142,0.9898071,07-09-2017 10:01:48,Biking,9.00358783163,18.0071756633
-0.3314743,16.8282625,1.93377687,07-09-2017 10:01:56,Biking,8.47112429025,16.9422485805
0.46594238,15.082703,0.8725586,07-09-2017 10:02:03,Biking,7.55755235837,15.1151047167
0.05317688,16.122375,0.8964844,07-09-2017 10:02:05,Biking,8.07368391288,16.1473678258
1.6324463,14.193771,-0.07858276,07-09-2017 10:02:06,Biking,7.14377686124,14.2875537225
-1.3011627,-15.630371,-0.89334106,07-09-2017 10:08:37,Walk,7.85492807445,15.7098561489
-3.9189148,-13.559387,0.37843323,07-09-2017 10:08:38,Walk,7.05971105526,14.1194221105
-3.0227966,-14.225784,0.86299133,07-09-2017 10:08:39,Walk,7.28448666234,14.5689733247
-5.0806274,-14.503357,0.46817017,07-09-2017 10:08:40,Walk,7.68731621496,15.3746324299
-2.0477142,-19.966171,1.04245,07-09-2017 10:08:45,Walk,10.0489778068,20.0979556137
-2.03456115,-13.8746415,3.6428451,07-09-2017 10:08:46,Walk,7.2442293629,14.4884587258
-2.92289735,-14.777931,0.81452944,07-09-2017 10:08:47,Walk,7.54310996486,15.0862199297
-1.0977631,-13.297379,3.973648,07-09-2017 10:08:48,Walk,6.96087728884,13.9217545777
-2.4604797,-13.491196,2.0342712,07-09-2017 10:08:55,Walk,6.93189348554,13.8637869711
-3.77294925,-14.380722,1.16628267,07-09-2017 10:08:56,Walk,7.45654957991,14.9130991598
-2.9456253,-14.3328705,0.928192151,07-09-2017 10:08:57,Walk,7.33091784579,14.6618356916
-1.8263855,-13.944626,3.5585022,07-09-2017 10:12:02,Walk,7.25346841487,14.5069368297
-1.594284,-13.607239,2.600174,07-09-2017 10:12:04,Walk,6.97243858894,13.9448771779
-11.776932,8.0466,10.452225,07-09-2017 10:12:15,Walk,8.84156245162,17.6831249032
0.028045654,3.203537,14.085724,07-09-2017 10:12:16,Walk,7.22272553253,14.4454510651
8.4968567,1.37242125,11.6055605,07-09-2017 10:12:19,Walk,7.22442295943,14.4488459189
