x-value,y-value,z-value,timestamp,travel_mode
5.14331055,1.12133035,9.16548165,11-10-2017 12:20:04,Dummy shake
3.3929596,0.501434312,14.9082565,11-10-2017 12:20:07,Dummy shake
5.5865784,3.1114044,13.087921,11-10-2017 12:20:08,Dummy shake
9.51679235,3.0228729,-6.96572865,11-10-2017 12:20:09,Dummy shake
-1.47882845,-2.5392456,15.730789,11-10-2017 12:20:10,Dummy shake
11.212692,5.4761047,-10.004013,11-10-2017 12:20:13,Dummy shake
5.4489898,0.5121994,15.46817,11-10-2017 12:20:14,Dummy shake
9.6908645,-0.07343292,-12.615784,11-10-2017 12:20:15,Dummy shake
3.40612035,0.58818054,-11.855461,11-10-2017 12:20:16,Dummy shake
3.1865845,0.4338379,-13.559753,11-10-2017 12:20:17,Dummy shake
6.169235,1.4424133,-14.475006,11-10-2017 12:20:18,Dummy shake
3.30680845,-1.07423395,1.1282885,11-10-2017 12:20:20,Dummy shake
7.2436066,1.0212708,-12.083374,11-10-2017 12:20:24,Dummy shake
11.019485,3.9165955,-11.046097,11-10-2017 12:20:25,Dummy shake
-2.1099396,0.5857849,14.449432,11-10-2017 12:20:26,Dummy shake
9.03524,8.1674423,-12.6923525,11-10-2017 12:20:27,Dummy shake
11.595856,3.7942505,-8.582672,11-10-2017 12:20:29,Dummy shake
8.469025,1.8686218,-13.861542,11-10-2017 12:20:30,Dummy shake
9.9181825,4.8922653,-13.225052,11-10-2017 12:20:34,Dummy shake
9.0962525,6.3213806,-11.805809,11-10-2017 12:20:35,Dummy shake
12.98877,4.392761,-12.437515,11-10-2017 12:20:36,Dummy shake
11.904831,5.969635,-9.258652,11-10-2017 12:20:37,Dummy shake
9.224869,3.7167816,-10.29834,11-10-2017 12:20:41,Dummy shake
10.178406,3.4081116,-12.091751,11-10-2017 12:20:44,Dummy shake
8.91200275,3.6097107,-12.476402,11-10-2017 12:20:45,Dummy shake
11.081696,7.971237,-6.9878693,11-10-2017 12:20:46,Dummy shake
4.6249695,2.95557405,-1.344391,11-10-2017 12:20:47,Dummy shake
5.30123125,3.5301591,-1.395836,11-10-2017 12:20:49,Dummy shake
13.123978,1.5644531,4.733383,11-10-2017 12:20:51,Dummy shake
6.30083465,1.198951725,0.0542065,11-10-2017 12:20:52,Dummy shake
7.0126953,0.32017517,-14.65567,11-10-2017 12:20:53,Dummy shake
1.3010406,2.4868774,13.655014,11-10-2017 12:20:54,Dummy shake
1.9297485,1.4783096,17.3303905,11-10-2017 12:20:55,Dummy shake
6.77461235,4.3030319,14.8645855,11-10-2017 12:21:02,Dummy shake
14.6775055,3.9997406,5.8298798,11-10-2017 12:21:06,Dummy shake
5.09096565,0.08508305,10.8841245,11-10-2017 12:21:07,Dummy shake
6.234436,-13.05629,9.680542,11-10-2017 12:21:15,Dummy shake
-7.5547943,-5.992676,12.562698,11-10-2017 12:21:17,Dummy shake
12.042404,-7.8001556,11.48233,11-10-2017 12:47:32,Walk
14.978409,-9.566956,7.2267,11-10-2017 12:47:34,Walk
2.5955505,-0.42877197,15.685333,11-10-2017 12:47:35,Walk
3.069336,1.5656433,14.693497,11-10-2017 12:47:36,Walk
1.9243622,1.6278534,13.949326,11-10-2017 12:47:37,Walk
1.1963501,2.6806946,14.147339,11-10-2017 12:47:38,Walk
9.223068,-7.8312605,10.7336735,11-10-2017 12:47:41,Walk
17.8485945,-3.94561765,-1.36473083,11-10-2017 12:47:43,Walk
14.343109,-9.947418,1.5401611,11-10-2017 12:47:44,Walk
12.629852,-10.286011,1.0412445,11-10-2017 12:47:45,Walk
13.670731,-5.4501038,1.276947,11-10-2017 12:47:50,Walk
13.602539,-6.83495325,-0.176094055,11-10-2017 12:47:51,Walk
15.724976,-4.3470154,5.1736603,11-10-2017 12:47:52,Walk
15.756676,-5.3334655,1.4181213,11-10-2017 12:47:53,Walk
17.096054,-4.1089325,3.0260925,11-10-2017 12:47:54,Walk
2.2300415,-14.361572,0.78341675,11-10-2017 12:49:05,Walk
-2.5250854,-19.563568,-1.0434875,11-10-2017 12:50:46,Walk
-1.94034578,-13.889885,-0.08906555,11-10-2017 12:50:48,Walk
-2.4868011,-15.080612,-9.41658,11-10-2017 12:50:49,Walk
-0.62280273,3.3871765,13.455215,11-10-2017 12:55:09,Walk
13.139526,-2.6499023,12.832489,11-10-2017 12:55:19,Walk
11.398743,-5.430359,6.4400635,11-10-2017 12:55:28,Walk
11.691269,-6.2161026,5.3896103,11-10-2017 12:55:29,Walk
0.67889404,1.5620575,13.779449,11-10-2017 12:57:11,Walk
-1.0887909,1.1750107,13.8261035,11-10-2017 12:57:12,Walk
14.669128,-13.9960785,5.0402527,11-10-2017 12:57:16,Walk
0.5730133,-7.317108,14.394394,11-10-2017 12:57:34,Walk
-0.60246277,0.74490356,13.994797,11-10-2017 12:57:37,Walk
-1.1982727,0.4326477,14.821518,11-10-2017 12:57:38,Walk
3.591858,1.7226715,16.1701665,11-10-2017 12:57:57,Walk
1.495742785,-2.84342955,14.07943725,11-10-2017 12:58:01,Walk
14.743912,-14.1339645,4.83715815,11-10-2017 12:58:02,Walk
14.074219,-6.1329575,2.41053765,11-10-2017 12:58:03,Walk
12.144707,-7.39637,3.0225067,11-10-2017 12:58:04,Walk
13.6192855,-6.1748353,4.08969885,11-10-2017 12:58:06,Walk
12.726761,-5.5936737,0.677536,11-10-2017 12:58:08,Walk
13.458359,-5.175522,2.937561,11-10-2017 12:58:09,Walk
13.44162,-4.476227,0.037460327,11-10-2017 12:58:12,Walk
12.4240645,-6.70932775,1.0125351,11-10-2017 12:58:13,Walk
12.230545,-7.496269,0.912933358,11-10-2017 12:58:14,Walk
