x-value,y-value,z-value,timestamp,travel_mode,disp(mtr),speed(m/s),aggr_acc
4.86393735,-0.7482147,20.4718625,04-09-2017 07:45:59,Dummy shake,365.548831697,355.021309838,21.0550437188
6.0720138,-3.3605728,13.5694655,04-09-2017 07:46:00,Dummy shake,377.883061498,370.262477611,15.2411677731
1.210411085,-2.3232956,15.7262955,04-09-2017 07:47:13,Walk,7.97149872347,0,15.9429974469
0.70462036,-4.0730286,16.086716,04-09-2017 07:47:14,Walk,24.9139336087,16.6092890725,16.6092890725
6.9720154,-5.0953674,12.569275,04-09-2017 07:47:15,Walk,39.4840894833,31.859156013,15.2498669405
5.719986,-3.54422,12.322205,04-09-2017 07:47:17,Walk,52.9188820428,45.8989733662,14.0398173532
4.0473938,-3.7398453,14.77964,04-09-2017 07:47:21,Walk,69.5593325231,61.6725461374,15.7735727712
3.7429047,-4.8375397,12.597382,04-09-2017 07:47:23,Walk,82.6781789104,75.6763013194,14.003755182
7.3940582,-4.1436233,13.8910065,04-09-2017 07:47:24,Walk,100.085397732,91.9490322611,16.2727309417
4.5355225,-6.013611,13.49469,04-09-2017 07:47:25,Walk,115.130761372,107.403518335,15.4544860737
6.0388184,-2.06427,12.579437,04-09-2017 07:47:29,Walk,128.562068391,121.509218372,14.1057000371
11.0529785,-9.054291,9.6996765,04-09-2017 07:47:32,Walk,147.413321285,138.778620314,17.2694019421
8.310806,-8.33226,12.522003,04-09-2017 07:47:35,Walk,164.554915189,155.962816897,17.1841965832
4.4751129,-9.393181,9.841156,04-09-2017 07:47:36,Walk,177.445144085,170.284368356,14.3215514587
14.7430035,-8.94242875,6.4080428,04-09-2017 07:47:38,Walk,197.877283072,188.679644833,18.3952764773
10.987778,-11.270645,11.345337,04-09-2017 07:47:44,Walk,217.784104894,208.082618207,19.4029733736
8.376602,-8.664871,7.1441345,04-09-2017 07:47:48,Walk,229.097939846,222.092832633,14.0102144262
10.388367,-10.507935,6.6589966,04-09-2017 07:47:49,Walk,246.403807127,238.300148963,16.2073163297
4.388962,-13.135849,4.5281982,04-09-2017 07:47:51,Walk,260.156857646,252.871288085,14.5711391225
10.304626,-6.4066315,10.395996,04-09-2017 07:47:53,Walk,276.838780617,268.84961644,15.9783283546
9.1465,-4.673645,10.16748,04-09-2017 07:47:56,Walk,290.528590265,283.302265657,14.4526492169
12.663345,-8.386688,3.4681702,04-09-2017 07:47:58,Walk,306.67171912,298.881901299,15.5796356419
10.7990415,-7.18042,6.2540208,04-09-2017 07:47:59,Walk,320.478281457,313.279488071,14.3975867722
5.5351257,-10.283005,16.026306,04-09-2017 07:48:00,Walk,343.024162515,333.109271034,19.8297829628
11.4265595,-7.841133,7.12439735,04-09-2017 07:48:01,Walk,356.482653314,348.691525887,15.5822548539
10.189178,-6.257675,7.602371,04-09-2017 07:48:02,Walk,369.945731388,362.860996221,14.1694703339
12.262558,-7.5881042,1.8883057,04-09-2017 07:48:11,Walk,384.676347308,377.404563613,14.5435673915
18.02687,-9.147018,6.9383698,04-09-2017 07:48:17,Walk,409.463074971,398.776904518,21.3723409053
12.6800995,-7.525879,4.355316,04-09-2017 07:48:18,Walk,421.839498689,414.151967299,15.3750627808
10.8471985,-9.044128,4.0992737,04-09-2017 07:48:19,Walk,436.210741647,428.857816864,14.7058495656
12.645401,-6.224182,6.9455414,04-09-2017 07:48:20,Walk,452.426781523,444.57045997,15.7126431054
6.016098,-10.500168,6.977844,04-09-2017 07:48:21,Walk,465.524191323,458.539614206,13.9691542357
0.65856934,-12.334259,10.013138,04-09-2017 07:48:22,Walk,482.390585472,474.440261716,15.9006475108
9.75247975,-8.25389875,7.4480362,04-09-2017 07:48:24,Walk,496.623580572,489.229140953,14.788879237
12.233841,-6.47872165,3.8115387,04-09-2017 07:48:25,Walk,510.766995674,503.587710767,14.3585698136
11.32457,-8.732468,6.364685,04-09-2017 07:48:26,Walk,527.066956303,519.240541125,15.6528303576
11.127747,-5.6337585,6.261795,04-09-2017 07:48:30,Walk,540.174870483,533.196760697,13.9562195724
8.213287,-10.917099,6.3634796,04-09-2017 07:48:32,Walk,555.803258982,548.267759554,15.0709988567
12.398346,-4.73645,5.0199127,04-09-2017 07:48:34,Walk,569.552567463,562.457631493,14.1898719393
6.843994,-2.7450104,14.991699,04-09-2017 08:03:05,Dummy shake,8.35353779657,0,16.7070755931
8.247406,-0.8690491,22.230896,04-09-2017 08:03:07,Dummy shake,35.5910424168,23.7273616112,23.7273616112
8.816895,4.791168,23.367477,04-09-2017 08:03:08,Dummy shake,61.873748027,49.1582858884,25.4309242772
4.9752197,2.0250702,24.038666,04-09-2017 08:03:09,Dummy shake,86.1055477996,73.7897938292,24.6315079408
2.02246865,-0.251106265,0.34494,04-09-2017 08:03:10,Dummy shake,76.8902678495,75.8567765094,2.06698268018
4.947693,-2.0391388,26.62053,04-09-2017 08:03:11,Dummy shake,116.586413553,103.009867872,27.1530913627
3.1243668,1.82227325,15.882736,04-09-2017 08:03:25,Dummy shake,127.44392635,119.299240191,16.2893723189
2.5716248,0.6288605,14.750931,04-09-2017 08:03:32,Dummy shake,141.779165486,134.285857054,14.9866168633
2.8216705,-2.1246872,14.8442535,04-09-2017 08:03:33,Dummy shake,157.173909826,149.544558902,15.2587018478
-12.7544025,-2.88201905,5.616333,04-09-2017 11:52:35,Walk,7.11554659361,0,14.2310931872
-13.5195085,-1.99008945,4.35112,04-09-2017 11:52:36,Walk,21.5117892224,14.3411928149,14.3411928149
-14.491592,-1.9506073,2.4243011,04-09-2017 11:52:37,Walk,36.5740237762,29.1630801224,14.8218873075
-14.286415,-0.008834835,2.1820297,04-09-2017 11:52:38,Walk,50.8412192663,43.615172885,14.4520927626
-14.038742,-1.2441406,3.3246002,04-09-2017 11:52:39,Walk,65.3360393697,58.0957505415,14.4805776565
-14.227188,-0.58550262,4.14234925,04-09-2017 11:52:41,Walk,80.3400348699,72.9252734271,14.8295228856
-14.394089,-1.0999527,3.356308,04-09-2017 11:52:42,Walk,95.1568977338,87.7463562982,14.8210828711
-14.1117325,-0.418006895,4.45939625,04-09-2017 11:52:43,Walk,109.954561142,102.551826194,14.8054698956
-13.12529,-3.6255798,3.4316864,04-09-2017 11:52:44,Walk,123.615722095,116.594423461,14.0425972675
-14.000458,-0.87384033,3.9670715,04-09-2017 11:52:46,Walk,138.461217332,131.172286042,14.5778625806
-13.675034,-0.5388489,3.3754425,04-09-2017 11:52:47,Walk,152.31593004,145.268048707,14.095762665
-13.587105,-1.98769375,3.4083481,04-09-2017 11:52:50,Walk,166.490646742,159.416447397,14.1483986902
-13.7318725,-3.1278763,3.98980715,04-09-2017 11:52:51,Walk,181.373214249,174.054291965,14.6378445681
-13.812027,-1.3595734,4.379242,04-09-2017 11:52:52,Walk,195.884229045,188.607583351,14.5532913863
-12.758591,-1.8626709,5.25441,04-09-2017 11:52:55,Walk,209.492626473,202.530945432,13.9233620809
-13.334061,-1.427185,5.875946,04-09-2017 11:52:56,Walk,224.49254277,217.172010324,14.641064892
-13.852112,-0.30374146,5.2484283,04-09-2017 11:52:57,Walk,239.396284149,231.988192874,14.81618255
-3.9751282,3.0043182,13.256607,04-09-2017 11:52:59,Walk,253.231349483,246.15029728,14.162104406
-13.945435,-4.781906,6.936569,04-09-2017 11:53:01,Walk,270.589609599,262.443172159,16.292874879
-13.768356,-2.9878845,3.3473206,04-09-2017 11:53:02,Walk,284.164686398,276.924181652,14.4810094927
-12.497772,-4.28839115,3.5267944,04-09-2017 11:53:14,Walk,297.437628103,290.59981262,13.6756309675
-13.687012,-2.2054443,3.443634,04-09-2017 11:53:15,Walk,312.027085396,304.884661137,14.2848485177
-14.138641,-0.7147217,4.3289948,04-09-2017 11:53:18,Walk,327.090345836,319.688450936,14.803789799
-15.274048,-2.6301575,3.389801,04-09-2017 11:53:19,Walk,343.486272236,335.553665136,15.8652141996
-14.5026625,-1.33386232,4.02988425,04-09-2017 11:53:20,Walk,358.220366363,350.664799287,15.1111341515
-13.9083405,-2.0642624485,3.66049195,04-09-2017 11:53:21,Walk,372.458840022,365.194159777,14.5293604896
-16.6176145,-1.77024841,4.14443975,04-09-2017 11:53:22,Walk,391.020974561,382.4120363,17.2178765225
-15.291092,-3.128769,4.40944685,04-09-2017 11:53:23,Walk,406.740256558,398.630849805,16.2188135056
-13.419006,-1.6748352,4.53656,04-09-2017 11:53:24,Walk,420.02650675,412.894621102,14.2637712968
-13.611633,-2.2341614,3.5477295,04-09-2017 11:53:26,Walk,434.258666437,427.137317992,14.2426968897
-13.353806,-2.2383423,4.0897064,04-09-2017 11:53:27,Walk,448.353703666,441.281575108,14.1442571164
-5.999466,-7.2447205,12.137955,04-09-2017 11:53:36,Walk,464.315711031,456.637665724,15.3560906155
-5.07045,-6.8863983,11.596588,04-09-2017 11:53:39,Walk,478.250828275,471.046440758,14.4087750343
-3.0401306,-2.4806213,14.4608,04-09-2017 11:53:49,Walk,493.521958075,486.030118969,14.9836782113
-2.207428,-4.144821,13.465378,04-09-2017 11:53:51,Walk,507.421227856,500.290858227,14.2607392578
-3.7669525,-4.1878967,13.480942,04-09-2017 11:53:52,Walk,522.206479733,514.901272565,14.6104143375
-2.7930756,-4.0766296,13.130981,04-09-2017 11:53:59,Walk,535.94637639,528.931341781,14.0300692167
-2.9354553,-4.280609,13.099884,04-09-2017 11:54:01,Walk,550.067372915,543.022029204,14.0906874226
-4.4106293,-4.9727325,12.8582,04-09-2017 11:54:03,Walk,564.733980056,557.496663105,14.4746339014
-8.328278,-5.2772217,13.185425,04-09-2017 11:54:05,Walk,582.19272778,573.960706222,16.4640431166
11.886871,-7.369751,1.1656799,04-09-2017 11:54:08,Walk,595.012592565,587.995297117,14.0345908954
12.469528,-7.3027496,1.8691711,04-09-2017 11:54:12,Walk,609.851747697,602.566264171,14.5709670532
13.557068,-8.2954713,2.3794327,04-09-2017 11:54:16,Walk,626.672465299,618.637064923,16.0708007523
11.721771,-8.406433,-0.22096252,04-09-2017 11:54:17,Walk,640.276448581,633.063320695,14.4262557719
12.090866,-7.3751373,0.4986725,04-09-2017 11:54:18,Walk,654.320515276,647.234783749,14.1714630538
12.670532,-6.3743286,-0.6390991,04-09-2017 11:54:25,Walk,668.531767369,661.432772829,14.1979890803
12.937927,-5.816803,0.32937622,04-09-2017 11:54:30,Walk,682.716585739,675.621981436,14.189208607
13.07252525,-10.007538,2.117118735,04-09-2017 11:54:34,Walk,700.520351487,692.220894803,16.5989133672
12.760254,-6.827179,2.1539154,04-09-2017 11:54:40,Walk,714.167786731,706.852156088,14.6312612851
11.906616,-7.576729,1.05590819,04-09-2017 11:54:42,Walk,728.080694787,721.004515221,14.1523591325
13.640823,-8.53685,0.38861084,04-09-2017 11:54:43,Walk,745.149431382,737.101125995,16.0966107745
13.901039,-3.74671935,4.62659465,04-09-2017 11:54:44,Walk,759.784487315,752.223366875,15.1222408797
-14.149414,-4.859375,2.43506625,04-09-2017 11:54:55,Walk,774.959576465,767.380839935,15.1574730604
-13.376236,-5.07891845,0.376945495,04-09-2017 11:54:56,Walk,788.850299119,781.693812724,14.3129727889
-13.534454,-3.2654572,-0.1689148,04-09-2017 11:54:57,Walk,802.579565596,795.617647972,13.923835248
-12.955994,-5.2933807,0.5656738,04-09-2017 11:54:59,Walk,816.628233515,809.624705001,14.0070570289
-14.309738,-3.1278687,-1.1368103,04-09-2017 11:55:01,Walk,831.662176028,824.316352352,14.6916473512
-13.0499115,-4.394272,5.776642,04-09-2017 11:55:03,Walk,846.715094975,839.248847434,14.9324950817
-13.398071,-2.0905762,3.2270966,04-09-2017 11:55:04,Walk,860.157199297,853.187748676,13.938901242
-14.365372,0.025863647,3.5184174,04-09-2017 11:55:05,Walk,875.372735624,867.977739975,14.7899912991
-13.057991,-3.14133442,4.32778935,04-09-2017 11:55:06,Walk,889.143631428,882.088334277,14.1105943019
-14.710541,-4.636551,3.9383545,04-09-2017 11:55:07,Walk,905.966537312,898.0071363,15.9188020233
-13.634659,-3.66416935,3.40685275,04-09-2017 11:55:08,Walk,919.792626762,912.530796608,14.5236603076
-13.874237,-2.80814365,4.66517635,04-09-2017 11:55:09,Walk,934.887540228,927.435292355,14.9044957468
-13.10376,-5.3184967,4.10347,04-09-2017 11:55:10,Walk,949.523188327,942.160556336,14.7252639816
-13.854507,-3.9821014,3.8922882,04-09-2017 11:55:11,Walk,964.558042963,957.092214088,14.9316577514
