"x-value","y-value","z-value","timestamp","travel-mode"
"-0.72569275","0.750885","15.577652","12-10-2017 12:04:11","Walk"
"0.30682373","0.7484894","14.597794","12-10-2017 12:04:11","Walk"
"1.2567749","1.3562775","14.168274","12-10-2017 12:04:11","Walk"
"11.310211","-4.653305","7.4982758","12-10-2017 12:04:11","Walk"
"12.298447","-6.244522","5.597183","12-10-2017 12:04:12","Walk"
"11.909607","-5.5302734","6.7038727","12-10-2017 12:04:12","Walk"
"12.934937","-4.521698","4.0944977","12-10-2017 12:04:12","Walk"
"15.360062","-5.2359467","4.8171234","12-10-2017 12:04:12","Walk"
"16.2155","-5.959778","5.341156","12-10-2017 12:04:12","Walk"
"16.2155","-5.959778","5.341156","12-10-2017 12:04:12","Walk"
"15.273926","-5.402252","6.1439514","12-10-2017 12:04:12","Walk"
"13.029449","-3.0991669","6.195389","12-10-2017 12:04:12","Walk"
"13.626465","-9.566956","3.7020721","12-10-2017 12:04:12","Walk"
"13.450592","-10.039551","3.714035","12-10-2017 12:04:12","Walk"
"13.351288","-8.691193","5.4595947","12-10-2017 12:04:12","Walk"
"13.1610565","-5.721695","6.809143","12-10-2017 12:04:12","Walk"
"13.302231","-4.0838165","6.1571045","12-10-2017 12:04:12","Walk"
"13.638428","-3.7906952","1.852417","12-10-2017 12:04:13","Walk"
"17.73613","-7.2315674","4.4881134","12-10-2017 12:04:13","Walk"
"17.498047","-9.907944","5.607956","12-10-2017 12:04:13","Walk"
"13.108414","-11.130676","5.1987762","12-10-2017 12:04:13","Walk"
"9.331345","-10.40564","3.8671722","12-10-2017 12:04:13","Walk"
"13.168243","-5.134262","2.6923065","12-10-2017 12:04:13","Walk"
"14.472321","-5.4237823","1.6920929","12-10-2017 12:04:13","Walk"
"16.253784","-5.8580933","0.06976318","12-10-2017 12:04:13","Walk"
"17.973022","-4.319504","-0.75935364","12-10-2017 12:04:13","Walk"
"17.161865","-1.9302673","-2.6568604","12-10-2017 12:04:13","Walk"
"14.749893","-0.9109192","-3.7348175","12-10-2017 12:04:13","Walk"
"14.363449","-4.3805237","0.70147705","12-10-2017 12:04:13","Walk"
"16.117386","-3.44133","0.7852173","12-10-2017 12:04:13","Walk"
"15.814697","-3.2953796","0.053009033","12-10-2017 12:04:13","Walk"
"14.102631","-3.3001556","-0.7437897","12-10-2017 12:04:13","Walk"
"11.9814","-7.430176","3.2270966","12-10-2017 12:04:14","Walk"
"11.860565","-8.734253","5.2274933","12-10-2017 12:04:14","Walk"
"13.146698","-8.224594","8.724609","12-10-2017 12:04:14","Walk"
"14.808517","-6.1464233","11.142548","12-10-2017 12:04:14","Walk"
"14.010513","-5.1605835","9.917419","12-10-2017 12:04:14","Walk"
"12.360657","-4.570755","8.505661","12-10-2017 12:04:14","Walk"
"11.640427","-6.6848145","5.222702","12-10-2017 12:04:14","Walk"
"11.860565","-6.6680603","6.828293","12-10-2017 12:04:14","Walk"
"11.582993","-5.7683563","7.552124","12-10-2017 12:04:14","Walk"
"11.021881","-5.1605835","7.43248","12-10-2017 12:04:14","Walk"
"11.42746","-7.5653687","3.413742","12-10-2017 12:04:14","Walk"
"10.588776","-8.3250885","4.4689636","12-10-2017 12:04:14","Walk"
"12.4001465","-6.165558","5.66658","12-10-2017 12:04:15","Walk"
"14.195953","-6.9408417","6.824707","12-10-2017 12:04:15","Walk"
"14.929352","-6.691986","8.394394","12-10-2017 12:04:15","Walk"
"14.992767","-5.0050507","9.350327","12-10-2017 12:04:15","Walk"
"13.518784","-3.0130157","8.584625","12-10-2017 12:04:15","Walk"
"12.726761","-6.335449","5.6749573","12-10-2017 12:04:15","Walk"
"13.3824005","-7.4744415","6.988617","12-10-2017 12:04:15","Walk"
"14.566849","-8.739044","6.8725586","12-10-2017 12:04:15","Walk"
"16.048004","-10.542038","7.542557","12-10-2017 12:04:15","Walk"
"15.758469","-11.657089","8.119217","12-10-2017 12:04:15","Walk"
"14.32756","-10.538452","8.734177","12-10-2017 12:04:15","Walk"
"12.322372","-7.6885986","8.593002","12-10-2017 12:04:15","Walk"
"13.864548","-3.2331543","5.9118347","12-10-2017 12:04:16","Walk"
"14.688873","-3.4389496","6.090103","12-10-2017 12:04:16","Walk"
"14.7881775","-3.3563843","6.0410614","12-10-2017 12:04:16","Walk"
"13.760468","-3.7715454","4.9942017","12-10-2017 12:04:16","Walk"
"12.534134","-4.6999664","3.6685638","12-10-2017 12:04:16","Walk"
"13.163452","-0.31391907","9.936569","12-10-2017 12:04:16","Walk"
"15.423477","-2.59906","8.481735","12-10-2017 12:04:16","Walk"
"16.696457","-3.1793213","6.5603027","12-10-2017 12:04:16","Walk"
"17.087677","-2.4519043","5.8651886","12-10-2017 12:04:16","Walk"
"16.685684","-0.31033325","7.162094","12-10-2017 12:04:16","Walk"
"14.417297","0.24121094","7.0269012","12-10-2017 12:04:16","Walk"
"12.625061","-5.878433","6.0829315","12-10-2017 12:04:17","Walk"
"13.263947","-6.8403473","7.2410583","12-10-2017 12:04:17","Walk"
"11.81868","-8.78212","7.7507324","12-10-2017 12:04:17","Walk"
"10.612701","-8.888596","8.549927","12-10-2017 12:04:17","Walk"
"9.59935","-6.6525116","8.013931","12-10-2017 12:04:17","Walk"
"12.170425","-8.014023","4.2201233","12-10-2017 12:04:17","Walk"
"12.741119","-7.34523","4.556305","12-10-2017 12:04:17","Walk"
"12.543716","-6.757782","4.0968933","12-10-2017 12:04:17","Walk"
"12.975616","-5.758789","5.197586","12-10-2017 12:04:17","Walk"
"13.948303","-3.8576813","7.199173","12-10-2017 12:04:17","Walk"
"14.325165","-1.6826172","7.1848297","12-10-2017 12:04:17","Walk"
"13.235245","-0.8259735","4.7106476","12-10-2017 12:04:17","Walk"
"13.485291","-6.173935","2.8406525","12-10-2017 12:04:17","Walk"
"15.802734","-8.082214","4.216522","12-10-2017 12:04:17","Walk"
"18.199142","-8.68042","5.44046","12-10-2017 12:04:17","Walk"
"19.700638","-7.382309","7.6777496","12-10-2017 12:04:17","Walk"
"19.370438","-5.5912933","9.011749","12-10-2017 12:04:17","Walk"
