x-value,y-value,z-value,timestamp,travel_mode
5.813122,-2.030283,13.350069,02-11-17 11:08,Cycling
0.21068975,11.425131,-1.4077905,03-11-17 17:16,Walk
4.7740383,14.3173265,-1.0726024,03-11-17 17:17,Walk
4.501099,14.049175,1.3790601,03-11-17 17:18,Walk
4.453215,14.164097,-0.411802695,03-11-17 17:19,Walk
4.6351743,13.723564,-0.36391866,03-11-17 17:20,Walk
4.5537715,13.9103115,0.78529813,03-11-17 17:21,Walk
4.5298295,14.077906,2.566584,03-11-17 17:22,Walk
4.53940625,14.0252335,3.9312792,03-11-17 17:23,Walk
3.6870706,13.474567,2.9975405,03-11-17 17:24,Walk
3.9073372,13.560759,3.23217225,03-11-17 17:25,Walk
3.9073372,13.809755,3.8786068,03-11-17 17:26,Walk
3.6008794,13.570335,4.8841715,03-11-17 17:27,Walk
3.6391866,13.445837,5.3247046,03-11-17 17:28,Walk
3.667917,13.5272395,4.10845,03-11-17 17:29,Walk
3.7924155,13.417107,5.0661307,03-11-17 17:30,Walk
3.31357515,13.5607585,5.353435,03-11-17 17:31,Walk
4.0174703,14.2359235,5.19541785,03-11-17 17:32,Walk
3.916914,13.6421615,4.88895985,03-11-17 17:33,Walk
3.7732618,13.541605,4.175488,03-11-17 17:34,Walk
4.39575435,13.83369725,1.65678755,03-11-17 17:35,Walk
4.37660065,13.7044105,3.9552212,03-11-17 17:36,Walk
4.405331,13.713987,2.9975405,03-11-17 17:37,Walk
4.4244847,14.039598,4.232949,03-11-17 17:38,Walk
3.6870706,13.685257,3.5529953,03-11-17 17:39,Walk
3.9360676,13.5224515,4.2281605,03-11-17 17:40,Walk
3.667917,13.608643,5.37258865,03-11-17 17:41,Walk
3.821146,13.618219,5.449203,03-11-17 17:42,Walk
4.11323835,13.6565265,3.8355111,03-11-17 17:43,Walk
4.0222588,13.67568,4.6255975,03-11-17 17:44,Walk
3.7253778,13.263878,4.2042184,03-11-17 17:45,Walk
4.2090067,13.3069735,1.8339585,03-11-17 17:46,Walk
4.5394063,13.733141,2.2984335,03-11-17 17:47,Walk
4.309563,13.733141,2.71023635,03-11-17 17:48,Walk
4.6351743,13.503298,-0.8331822,03-11-17 17:49,Walk
4.13718025,13.469779,-0.019153615,03-11-17 17:50,Walk
4.759673,13.713987,-0.019153614,03-11-17 17:51,Walk
4.3287168,13.417107,2.92571445,03-11-17 17:52,Walk
4.6734817,13.2351465,-0.062249242,03-11-17 17:53,Walk
3.24174915,1.1252748,9.2272535,03-11-17 17:54,Walk
13.761871,-2.7485435,0.9959879,03-11-17 17:55,Walk
-14.671668,4.4915223,3.7349546,04-11-17 17:19,Walk
-15.0499515,1.3982137,3.5577837,04-11-17 17:20,Walk
-14.930242,1.1300632,1.38384855,04-11-17 17:21,Walk
-14.384364,0.48841715,2.1164744,04-11-17 17:22,Walk
-14.662091,0.6512229,3.5242648,04-11-17 17:23,Walk
-15.1074125,1.04387195,3.050213,04-11-17 17:24,Walk
-14.4609785,0.48841715,3.7445314,04-11-17 17:25,Walk
-14.422671,0.29688102,3.2273839,04-11-17 17:26,Walk
-14.796166,0.30645782,4.4819455,04-11-17 17:27,Walk
-15.1696615,0.062249245,3.4715924,04-11-17 17:28,Walk
-15.351622,0.22984336,3.8115692,04-11-17 17:29,Walk
-14.9446065,-0.0143652105,3.5482068,04-11-17 17:30,Walk
-15.2654305,0.043095632,4.16112255,04-11-17 17:31,Walk
-15.418659,0.05746084,3.7828386,04-11-17 17:32,Walk
-15.1169895,0.062249245,3.6774938,04-11-17 17:33,Walk
-15.093047,-0.1388637,3.4715924,04-11-17 17:34,Walk
-15.217546,0.02873042,3.9073372,04-11-17 17:35,Walk
-14.614207,0.7613561,-1.5370775,04-11-17 17:36,Walk
-14.599842,0.59376204,-0.48841715,04-11-17 17:37,Walk
-14.853627,0.05746084,3.0071173,04-11-17 17:38,Walk
-14.911088,0.057460841,3.05978975,04-11-17 17:39,Walk
-14.949395,-0.2681506,3.25132585,04-11-17 17:40,Walk
-14.709975,-0.32561144,2.72939,04-11-17 17:41,Walk
-14.528016,-0.10534488,2.4133554,04-11-17 17:42,Walk
-15.030798,-0.33039984,3.9360676,04-11-17 17:43,Walk
-14.84405,0.21068975,3.4955344,04-11-17 17:44,Walk
-14.930242,-0.10534488,3.8977604,04-11-17 17:45,Walk
-14.451402,-0.047884032,3.5913026,04-11-17 17:46,Walk
-14.451402,0.229843355,2.0542251,04-11-17 17:47,Walk
-14.84405,0.11492168,1.3790601,04-11-17 17:48,Walk
-14.824897,0.24899697,2.9496565,04-11-17 17:49,Walk
-14.355634,0.019153614,3.1603463,04-11-17 17:50,Walk
-14.3604225,0.31603463,0.21547816,04-11-17 17:51,Walk
-15.006856,0.22026655,2.2888567,04-11-17 17:52,Walk
-14.192827,0.59376204,-1.5227122,04-11-17 17:53,Walk
-14.1018475,1.0055647,-1.54665425,04-11-17 17:54,Walk
4.189853,-5.568913,12.5168865,04-11-17 17:55,Walk
-11.789049,6.5601125,1.4077905,06-11-17 09:49,Cycling
-14.317327,5.133168,-0.38307227,06-11-17 09:50,Cycling
-14.642938,3.9839516,-0.5746084,06-11-17 09:51,Cycling
-15.389929,3.7349546,-1.0534488,06-11-17 09:52,Cycling
