x-value,y-value,z-value,timestamp,travel_mode,disp(mtr),speed(m/s),aggr_acc
5.14331055,1.12133035,9.16548165,11-10-2017 12:20:04,Dummy shake,5.28481501673,0,10.5696300335
3.3929596,0.501434312,14.9082565,11-10-2017 12:20:07,Dummy shake,22.9465547947,15.2977031964,15.2977031964
5.5865784,3.1114044,13.087921,11-10-2017 12:20:08,Dummy shake,37.1475278236,29.8642529479,14.5665497515
9.51679235,3.0228729,-6.96572865,11-10-2017 12:20:09,Dummy shake,48.1266203701,42.0391645627,12.1749116148
-1.47882845,-2.5392456,15.730789,11-10-2017 12:20:10,Dummy shake,66.0434965638,58.0420525634,16.0028880007
11.212692,5.4761047,-10.004013,11-10-2017 12:20:13,Dummy shake,82.0323221851,74.0355656446,15.9935130811
5.4489898,0.5121994,15.46817,11-10-2017 12:20:14,Dummy shake,98.6473671376,90.4434333066,16.407867662
9.6908645,-0.07343292,-12.615784,11-10-2017 12:20:15,Dummy shake,114.305989109,106.351803842,15.9083705352
3.40612035,0.58818054,-11.855461,11-10-2017 12:20:16,Dummy shake,124.87541114,118.700875374,12.3490715323
3.1865845,0.4338379,-13.559753,11-10-2017 12:20:17,Dummy shake,139.604732301,132.636779992,13.9359046179
6.169235,1.4424133,-14.475006,11-10-2017 12:20:18,Dummy shake,156.338005371,148.437596911,15.8008169192
3.30680845,-1.07423395,1.1282885,11-10-2017 12:20:20,Dummy shake,153.920706448,152.093003269,3.6554063582
7.2436066,1.0212708,-12.083374,11-10-2017 12:20:24,Dummy shake,173.280775808,166.218184962,14.1251816925
11.019485,3.9165955,-11.046097,11-10-2017 12:20:25,Dummy shake,190.348380051,182.304981688,16.0867967262
-2.1099396,0.5857849,14.449432,11-10-2017 12:20:26,Dummy shake,204.22660154,196.919394923,14.6144132345
9.03524,8.1674423,-12.6923525,11-10-2017 12:20:27,Dummy shake,223.305690552,214.510258675,17.5908637527
11.595856,3.7942505,-8.582672,11-10-2017 12:20:29,Dummy shake,236.886039371,229.427445806,14.9171871306
8.469025,1.8686218,-13.861542,11-10-2017 12:20:30,Dummy shake,253.95409614,245.778546029,16.3511002229
9.9181825,4.8922653,-13.225052,11-10-2017 12:20:34,Dummy shake,271.638067672,263.018227124,17.2396810954
9.0962525,6.3213806,-11.805809,11-10-2017 12:20:35,Dummy shake,287.301498606,279.207074779,16.1888476544
12.98877,4.392761,-12.437515,11-10-2017 12:20:36,Dummy shake,306.975161102,297.719132327,18.5120575488
11.904831,5.969635,-9.258652,11-10-2017 12:20:37,Dummy shake,322.048937198,313.939002241,16.2198699141
9.224869,3.7167816,-10.29834,11-10-2017 12:20:41,Dummy shake,335.414082699,328.255722546,14.3167203048
10.178406,3.4081116,-12.091751,11-10-2017 12:20:44,Dummy shake,352.508714839,344.424384075,16.1686615286
8.91200275,3.6097107,-12.476402,11-10-2017 12:20:45,Dummy shake,368.051855908,360.176031964,15.751647889
11.081696,7.971237,-6.9878693,11-10-2017 12:20:46,Dummy shake,383.179152981,375.511445975,15.3354140114
4.6249695,2.95557405,-1.344391,11-10-2017 12:20:47,Dummy shake,383.987859309,381.162388198,5.65094222248
5.30123125,3.5301591,-1.395836,11-10-2017 12:20:49,Dummy shake,390.942737215,387.682620876,6.52023267807
13.123978,1.5644531,4.733383,11-10-2017 12:20:51,Dummy shake,408.740998306,401.721539163,14.0389182871
6.30083465,1.198951725,0.0542065,11-10-2017 12:20:52,Dummy shake,411.342719805,408.135659591,6.41412042841
7.0126953,0.32017517,-14.65567,11-10-2017 12:20:53,Dummy shake,432.51096285,424.385861764,16.2502021729
1.3010406,2.4868774,13.655014,11-10-2017 12:20:54,Dummy shake,445.296565116,438.326330665,13.9404689012
