time_of_day,day_of_week,disp,velocity,acc
3,3,191,183,16
3,2,9,0,18
3,2,22,14,14
3,2,37,30,15
3,2,54,46,15
3,2,68,60,14
3,2,84,76,15
3,2,98,91,14
3,2,115,107,16
3,2,129,122,14
3,2,144,137,14
3,2,160,152,15
3,2,173,166,13
3,2,187,180,14
4,2,3,0,6
4,2,22,14,14
4,2,37,29,15
4,2,53,45,15
4,2,67,60,14
4,2,82,74,14
4,2,97,90,15
4,2,114,106,15
4,2,128,121,15
4,2,143,136,15
4,2,158,151,14
4,2,173,165,14
4,2,182,177,11
