x-value,y-value,z-value,timestamp,travel_mode
2.68827055,-16.853111,-0.13900757,06-10-2017 12:28:58,Walk
1.2101135,-14.675644,1.3379669,06-10-2017 12:28:59,Walk
7.7640533,-11.993286,-5.5102997,06-10-2017 12:29:00,Walk
8.0129015,-12.2780305,-0.80062103,06-10-2017 12:29:01,Walk
-4.33644865,-16.309937,-0.167121875,06-10-2017 12:29:07,Walk
2.12715915,-15.170952,-4.98148345,06-10-2017 12:29:08,Walk
-1.44532775,-15.4293825,0.08113098,06-10-2017 12:29:09,Walk
-3.364975,-16.025192,-0.35256958,06-10-2017 12:29:10,Walk
-3.95539855,-16.2788235,1.019722,06-10-2017 12:29:16,Walk
-2.9246826,-15.021408,-1.0740051,06-10-2017 12:29:17,Walk
-1.32987215,-14.4040525,0.87854003,06-10-2017 12:29:18,Walk
-1.462677,-19.990097,-4.316284,06-10-2017 12:29:19,Walk
-1.1037445,-33.45691,-9.636719,06-10-2017 12:29:49,Walk
2.2892761,-17.49678,0.70983887,06-10-2017 12:33:55,Walk
2.0595627,-15.630966,-1.9940491,06-10-2017 13:08:56,Walk
0.561653125,-16.9823225,-2.68676755,06-10-2017 13:08:57,Walk
1.64499665,-15.0243915,-0.80181885,06-10-2017 13:08:58,Walk
1.5654373,-16.288994,-0.645088195,06-10-2017 13:08:59,Walk
0.0053253174,-15.153,1.9325714,06-10-2017 13:09:00,Walk
6.0747223,-14.871857,1.6334686,06-10-2017 13:09:05,Walk
1.442215,-15.633957,-2.6125946,06-10-2017 13:09:06,Walk
1.8573608,-15.062073,-1.5477753,06-10-2017 13:09:07,Walk
2.1708298,-15.1344605,-0.30710602,06-10-2017 13:09:08,Walk
-4.0911865,-14.652908,0.77804565,06-10-2017 13:09:09,Walk
2.9532776,-16.186707,-0.67678833,06-10-2017 13:09:14,Walk
1.4864807,-15.02858,-0.31188965,06-10-2017 13:09:15,Walk
1.5989456,-15.3468245,-1.597435,06-10-2017 13:09:16,Walk
1.8501892,-16.366165,0.46936035,06-10-2017 13:09:17,Walk
