"x-value","y-value","z-value","timestamp","travel-mode"
"6.2362366","-13.108337","-6.7629395","06-10-2017 12:28:58","Walk"
"-0.7388458","-17.797073","3.631485","06-10-2017 12:28:58","Walk"
"-1.9029541","-16.842346","-0.831131","06-10-2017 12:28:58","Walk"
"2.3431091","-16.863876","-0.49613953","06-10-2017 12:28:58","Walk"
"3.8266602","-19.128677","6.0590057","06-10-2017 12:28:58","Walk"
"3.033432","-16.035965","0.21812439","06-10-2017 12:28:58","Walk"
"1.2101135","-16.26088","2.3788452","06-10-2017 12:28:59","Walk"
"-1.7438354","-16.295578","4.765686","06-10-2017 12:28:59","Walk"
"-1.4507141","-14.675644","1.7555084","06-10-2017 12:28:59","Walk"
"-1.4782257","-14.837158","1.3379669","06-10-2017 12:28:59","Walk"
"5.610504","-11.756393","-5.7232513","06-10-2017 12:28:59","Walk"
"7.8143005","-11.739639","-10.159546","06-10-2017 12:28:59","Walk"
"8.035629","-13.55101","-9.433334","06-10-2017 12:28:59","Walk"
"5.4501953","-11.457291","-6.532028","06-10-2017 12:28:59","Walk"
"-3.4403381","-17.448914","4.305069","06-10-2017 12:28:59","Walk"
"7.7640533","-11.993286","-0.756958","06-10-2017 12:29:00","Walk"
"5.816284","-12.701553","-1.3049164","06-10-2017 12:29:00","Walk"
"1.3632507","-13.924286","2.8777466","06-10-2017 12:29:00","Walk"
"13.3333435","-4.972748","-5.7675323","06-10-2017 12:29:00","Walk"
"13.419479","-6.096176","-5.5102997","06-10-2017 12:29:00","Walk"
"11.440628","-8.055893","-9.276596","06-10-2017 12:29:00","Walk"
"5.293457","-18.640549","-7.4975433","06-10-2017 12:29:00","Walk"
"9.607712","-11.454895","-0.8610382","06-10-2017 12:29:01","Walk"
"6.418091","-13.101166","-0.6313324","06-10-2017 12:29:01","Walk"
"3.66156","-14.706741","1.76268","06-10-2017 12:29:01","Walk"
"2.1277618","-16.020401","-0.74020386","06-10-2017 12:29:01","Walk"
"12.925369","-8.280823","-2.4965363","06-10-2017 12:29:01","Walk"
"13.565445","-7.718506","-4.5854645","06-10-2017 12:29:01","Walk"
"1.9925537","-14.975937","-9.509903","06-10-2017 12:29:07","Walk"
"9.136337","-24.252914","-14.96553","06-10-2017 12:29:07","Walk"
"8.2127075","-27.060883","-8.735825","06-10-2017 12:29:07","Walk"
"-7.4399414","-16.40445","9.188812","06-10-2017 12:29:07","Walk"
"-8.394684","-22.134064","-2.3828735","06-10-2017 12:29:07","Walk"
"-8.394684","-22.134064","-2.3828735","06-10-2017 12:29:07","Walk"
"1.5798035","-17.49678","1.5880127","06-10-2017 12:29:07","Walk"
"5.535141","-15.815811","0.26597595","06-10-2017 12:29:07","Walk"
"2.8755188","-15.161377","-2.7106934","06-10-2017 12:29:07","Walk"
"-4.6427307","-14.154007","0.4813385","06-10-2017 12:29:07","Walk"
"-7.112137","-16.215424","2.1575012","06-10-2017 12:29:07","Walk"
"-7.112137","-16.215424","2.1575012","06-10-2017 12:29:07","Walk"
"-6.846527","-16.689194","1.9122314","06-10-2017 12:29:07","Walk"
"-4.0301666","-15.076431","-0.6002197","06-10-2017 12:29:07","Walk"
